col.name,condition,rep,file,treatment,ctrl,sample,ID,ctrl.ID
channel_126,untreated,rep1,S3375_protein.tsv,untreated,untreated,fract01_2,fract01_2_untreated_rep1,fract01_2_untreated_rep1
channel_127N,untreated,rep1,S3375_protein.tsv,untreated,untreated,fract03,fract03_untreated_rep1,fract03_untreated_rep1
channel_127C,untreated,rep1,S3375_protein.tsv,untreated,untreated,fract04,fract04_untreated_rep1,fract04_untreated_rep1
channel_128N,untreated,rep1,S3375_protein.tsv,untreated,untreated,fract05,fract05_untreated_rep1,fract05_untreated_rep1
channel_128C,untreated,rep1,S3375_protein.tsv,untreated,untreated,fract06,fract06_untreated_rep1,fract06_untreated_rep1
channel_129N,untreated,rep1,S3375_protein.tsv,untreated,untreated,fract07,fract07_untreated_rep1,fract07_untreated_rep1
channel_129C,untreated,rep1,S3375_protein.tsv,untreated,untreated,fract08,fract08_untreated_rep1,fract08_untreated_rep1
channel_130N,untreated,rep1,S3375_protein.tsv,untreated,untreated,fract09,fract09_untreated_rep1,fract09_untreated_rep1
channel_130C,untreated,rep1,S3375_protein.tsv,untreated,untreated,fract10,fract10_untreated_rep1,fract10_untreated_rep1
channel_131N,untreated,rep1,S3375_protein.tsv,untreated,untreated,fract11,fract11_untreated_rep1,fract11_untreated_rep1
channel_131C,untreated,rep1,S3375_protein.tsv,untreated,untreated,fract12,fract12_untreated_rep1,fract12_untreated_rep1
channel_132N,untreated,rep1,S3375_protein.tsv,untreated,untreated,fract13,fract13_untreated_rep1,fract13_untreated_rep1
channel_132C,untreated,rep1,S3375_protein.tsv,untreated,untreated,fract14,fract14_untreated_rep1,fract14_untreated_rep1
channel_133N,untreated,rep1,S3375_protein.tsv,untreated,untreated,fract15,fract15_untreated_rep1,fract15_untreated_rep1
channel_133C,untreated,rep1,S3375_protein.tsv,untreated,untreated,fract16,fract16_untreated_rep1,fract16_untreated_rep1
channel_134N,untreated,rep1,S3375_protein.tsv,untreated,untreated,fract17,fract17_untreated_rep1,fract17_untreated_rep1
channel_134C,untreated,rep1,S3375_protein.tsv,untreated,untreated,fract18,fract18_untreated_rep1,fract18_untreated_rep1
channel_135N,untreated,rep1,S3375_protein.tsv,untreated,untreated,fract19,fract19_untreated_rep1,fract19_untreated_rep1
channel_126,treated,rep1,S3376_protein.tsv,treated,untreated,fract01_2,fract01_2_treated_rep1,fract01_2_untreated_rep1
channel_127N,treated,rep1,S3376_protein.tsv,treated,untreated,fract03,fract03_treated_rep1,fract03_untreated_rep1
channel_127C,treated,rep1,S3376_protein.tsv,treated,untreated,fract04,fract04_treated_rep1,fract04_untreated_rep1
channel_128N,treated,rep1,S3376_protein.tsv,treated,untreated,fract05,fract05_treated_rep1,fract05_untreated_rep1
channel_128C,treated,rep1,S3376_protein.tsv,treated,untreated,fract06,fract06_treated_rep1,fract06_untreated_rep1
channel_129N,treated,rep1,S3376_protein.tsv,treated,untreated,fract07,fract07_treated_rep1,fract07_untreated_rep1
channel_129C,treated,rep1,S3376_protein.tsv,treated,untreated,fract08,fract08_treated_rep1,fract08_untreated_rep1
channel_130N,treated,rep1,S3376_protein.tsv,treated,untreated,fract09,fract09_treated_rep1,fract09_untreated_rep1
channel_130C,treated,rep1,S3376_protein.tsv,treated,untreated,fract10,fract10_treated_rep1,fract10_untreated_rep1
channel_131N,treated,rep1,S3376_protein.tsv,treated,untreated,fract11,fract11_treated_rep1,fract11_untreated_rep1
channel_131C,treated,rep1,S3376_protein.tsv,treated,untreated,fract12,fract12_treated_rep1,fract12_untreated_rep1
channel_132N,treated,rep1,S3376_protein.tsv,treated,untreated,fract13,fract13_treated_rep1,fract13_untreated_rep1
channel_132C,treated,rep1,S3376_protein.tsv,treated,untreated,fract14,fract14_treated_rep1,fract14_untreated_rep1
channel_133N,treated,rep1,S3376_protein.tsv,treated,untreated,fract15,fract15_treated_rep1,fract15_untreated_rep1
channel_133C,treated,rep1,S3376_protein.tsv,treated,untreated,fract16,fract16_treated_rep1,fract16_untreated_rep1
channel_134N,treated,rep1,S3376_protein.tsv,treated,untreated,fract17,fract17_treated_rep1,fract17_untreated_rep1
channel_134C,treated,rep1,S3376_protein.tsv,treated,untreated,fract18,fract18_treated_rep1,fract18_untreated_rep1
channel_135N,treated,rep1,S3376_protein.tsv,treated,untreated,fract19,fract19_treated_rep1,fract19_untreated_rep1
channel_126,untreated,rep2,S3395_protein.tsv,untreated,untreated,fract01_2,fract01_2_untreated_rep2,fract01_2_untreated_rep2
channel_127N,untreated,rep2,S3395_protein.tsv,untreated,untreated,fract03,fract03_untreated_rep2,fract03_untreated_rep2
channel_127C,untreated,rep2,S3395_protein.tsv,untreated,untreated,fract04,fract04_untreated_rep2,fract04_untreated_rep2
channel_128N,untreated,rep2,S3395_protein.tsv,untreated,untreated,fract05,fract05_untreated_rep2,fract05_untreated_rep2
channel_128C,untreated,rep2,S3395_protein.tsv,untreated,untreated,fract06,fract06_untreated_rep2,fract06_untreated_rep2
channel_129N,untreated,rep2,S3395_protein.tsv,untreated,untreated,fract07,fract07_untreated_rep2,fract07_untreated_rep2
channel_129C,untreated,rep2,S3395_protein.tsv,untreated,untreated,fract08,fract08_untreated_rep2,fract08_untreated_rep2
channel_130N,untreated,rep2,S3395_protein.tsv,untreated,untreated,fract09,fract09_untreated_rep2,fract09_untreated_rep2
channel_130C,untreated,rep2,S3395_protein.tsv,untreated,untreated,fract10,fract10_untreated_rep2,fract10_untreated_rep2
channel_131N,untreated,rep2,S3395_protein.tsv,untreated,untreated,fract11,fract11_untreated_rep2,fract11_untreated_rep2
channel_131C,untreated,rep2,S3395_protein.tsv,untreated,untreated,fract12,fract12_untreated_rep2,fract12_untreated_rep2
channel_132N,untreated,rep2,S3395_protein.tsv,untreated,untreated,fract13,fract13_untreated_rep2,fract13_untreated_rep2
channel_132C,untreated,rep2,S3395_protein.tsv,untreated,untreated,fract14,fract14_untreated_rep2,fract14_untreated_rep2
channel_133N,untreated,rep2,S3395_protein.tsv,untreated,untreated,fract15,fract15_untreated_rep2,fract15_untreated_rep2
channel_133C,untreated,rep2,S3395_protein.tsv,untreated,untreated,fract16,fract16_untreated_rep2,fract16_untreated_rep2
channel_134N,untreated,rep2,S3395_protein.tsv,untreated,untreated,fract17,fract17_untreated_rep2,fract17_untreated_rep2
channel_134C,untreated,rep2,S3395_protein.tsv,untreated,untreated,fract18,fract18_untreated_rep2,fract18_untreated_rep2
channel_135N,untreated,rep2,S3395_protein.tsv,untreated,untreated,fract19,fract19_untreated_rep2,fract19_untreated_rep2
channel_126,treated,rep2,S3396_protein.tsv,treated,untreated,fract01_2,fract01_2_treated_rep2,fract01_2_untreated_rep2
channel_127N,treated,rep2,S3396_protein.tsv,treated,untreated,fract03,fract03_treated_rep2,fract03_untreated_rep2
channel_127C,treated,rep2,S3396_protein.tsv,treated,untreated,fract04,fract04_treated_rep2,fract04_untreated_rep2
channel_128N,treated,rep2,S3396_protein.tsv,treated,untreated,fract05,fract05_treated_rep2,fract05_untreated_rep2
channel_128C,treated,rep2,S3396_protein.tsv,treated,untreated,fract06,fract06_treated_rep2,fract06_untreated_rep2
channel_129N,treated,rep2,S3396_protein.tsv,treated,untreated,fract07,fract07_treated_rep2,fract07_untreated_rep2
channel_129C,treated,rep2,S3396_protein.tsv,treated,untreated,fract08,fract08_treated_rep2,fract08_untreated_rep2
channel_130N,treated,rep2,S3396_protein.tsv,treated,untreated,fract09,fract09_treated_rep2,fract09_untreated_rep2
channel_130C,treated,rep2,S3396_protein.tsv,treated,untreated,fract10,fract10_treated_rep2,fract10_untreated_rep2
channel_131N,treated,rep2,S3396_protein.tsv,treated,untreated,fract11,fract11_treated_rep2,fract11_untreated_rep2
channel_131C,treated,rep2,S3396_protein.tsv,treated,untreated,fract12,fract12_treated_rep2,fract12_untreated_rep2
channel_132N,treated,rep2,S3396_protein.tsv,treated,untreated,fract13,fract13_treated_rep2,fract13_untreated_rep2
channel_132C,treated,rep2,S3396_protein.tsv,treated,untreated,fract14,fract14_treated_rep2,fract14_untreated_rep2
channel_133N,treated,rep2,S3396_protein.tsv,treated,untreated,fract15,fract15_treated_rep2,fract15_untreated_rep2
channel_133C,treated,rep2,S3396_protein.tsv,treated,untreated,fract16,fract16_treated_rep2,fract16_untreated_rep2
channel_134N,treated,rep2,S3396_protein.tsv,treated,untreated,fract17,fract17_treated_rep2,fract17_untreated_rep2
channel_134C,treated,rep2,S3396_protein.tsv,treated,untreated,fract18,fract18_treated_rep2,fract18_untreated_rep2
channel_135N,treated,rep2,S3396_protein.tsv,treated,untreated,fract19,fract19_treated_rep2,fract19_untreated_rep2
channel_126,untreated,rep3,S3397_protein.tsv,untreated,untreated,fract01_2,fract01_2_untreated_rep3,fract01_2_untreated_rep3
channel_127N,untreated,rep3,S3397_protein.tsv,untreated,untreated,fract03,fract03_untreated_rep3,fract03_untreated_rep3
channel_127C,untreated,rep3,S3397_protein.tsv,untreated,untreated,fract04,fract04_untreated_rep3,fract04_untreated_rep3
channel_128N,untreated,rep3,S3397_protein.tsv,untreated,untreated,fract05,fract05_untreated_rep3,fract05_untreated_rep3
channel_128C,untreated,rep3,S3397_protein.tsv,untreated,untreated,fract06,fract06_untreated_rep3,fract06_untreated_rep3
channel_129N,untreated,rep3,S3397_protein.tsv,untreated,untreated,fract07,fract07_untreated_rep3,fract07_untreated_rep3
channel_129C,untreated,rep3,S3397_protein.tsv,untreated,untreated,fract08,fract08_untreated_rep3,fract08_untreated_rep3
channel_130N,untreated,rep3,S3397_protein.tsv,untreated,untreated,fract09,fract09_untreated_rep3,fract09_untreated_rep3
channel_130C,untreated,rep3,S3397_protein.tsv,untreated,untreated,fract10,fract10_untreated_rep3,fract10_untreated_rep3
channel_131N,untreated,rep3,S3397_protein.tsv,untreated,untreated,fract11,fract11_untreated_rep3,fract11_untreated_rep3
channel_131C,untreated,rep3,S3397_protein.tsv,untreated,untreated,fract12,fract12_untreated_rep3,fract12_untreated_rep3
channel_132N,untreated,rep3,S3397_protein.tsv,untreated,untreated,fract13,fract13_untreated_rep3,fract13_untreated_rep3
channel_132C,untreated,rep3,S3397_protein.tsv,untreated,untreated,fract14,fract14_untreated_rep3,fract14_untreated_rep3
channel_133N,untreated,rep3,S3397_protein.tsv,untreated,untreated,fract15,fract15_untreated_rep3,fract15_untreated_rep3
channel_133C,untreated,rep3,S3397_protein.tsv,untreated,untreated,fract16,fract16_untreated_rep3,fract16_untreated_rep3
channel_134N,untreated,rep3,S3397_protein.tsv,untreated,untreated,fract17,fract17_untreated_rep3,fract17_untreated_rep3
channel_134C,untreated,rep3,S3397_protein.tsv,untreated,untreated,fract18,fract18_untreated_rep3,fract18_untreated_rep3
channel_135N,untreated,rep3,S3397_protein.tsv,untreated,untreated,fract19,fract19_untreated_rep3,fract19_untreated_rep3
channel_126,treated,rep3,S3398_protein.tsv,treated,untreated,fract01_2,fract01_2_treated_rep3,fract01_2_untreated_rep3
channel_127N,treated,rep3,S3398_protein.tsv,treated,untreated,fract03,fract03_treated_rep3,fract03_untreated_rep3
channel_127C,treated,rep3,S3398_protein.tsv,treated,untreated,fract04,fract04_treated_rep3,fract04_untreated_rep3
channel_128N,treated,rep3,S3398_protein.tsv,treated,untreated,fract05,fract05_treated_rep3,fract05_untreated_rep3
channel_128C,treated,rep3,S3398_protein.tsv,treated,untreated,fract06,fract06_treated_rep3,fract06_untreated_rep3
channel_129N,treated,rep3,S3398_protein.tsv,treated,untreated,fract07,fract07_treated_rep3,fract07_untreated_rep3
channel_129C,treated,rep3,S3398_protein.tsv,treated,untreated,fract08,fract08_treated_rep3,fract08_untreated_rep3
channel_130N,treated,rep3,S3398_protein.tsv,treated,untreated,fract09,fract09_treated_rep3,fract09_untreated_rep3
channel_130C,treated,rep3,S3398_protein.tsv,treated,untreated,fract10,fract10_treated_rep3,fract10_untreated_rep3
channel_131N,treated,rep3,S3398_protein.tsv,treated,untreated,fract11,fract11_treated_rep3,fract11_untreated_rep3
channel_131C,treated,rep3,S3398_protein.tsv,treated,untreated,fract12,fract12_treated_rep3,fract12_untreated_rep3
channel_132N,treated,rep3,S3398_protein.tsv,treated,untreated,fract13,fract13_treated_rep3,fract13_untreated_rep3
channel_132C,treated,rep3,S3398_protein.tsv,treated,untreated,fract14,fract14_treated_rep3,fract14_untreated_rep3
channel_133N,treated,rep3,S3398_protein.tsv,treated,untreated,fract15,fract15_treated_rep3,fract15_untreated_rep3
channel_133C,treated,rep3,S3398_protein.tsv,treated,untreated,fract16,fract16_treated_rep3,fract16_untreated_rep3
channel_134N,treated,rep3,S3398_protein.tsv,treated,untreated,fract17,fract17_treated_rep3,fract17_untreated_rep3
channel_134C,treated,rep3,S3398_protein.tsv,treated,untreated,fract18,fract18_treated_rep3,fract18_untreated_rep3
channel_135N,treated,rep3,S3398_protein.tsv,treated,untreated,fract19,fract19_treated_rep3,fract19_untreated_rep3
